Anomaly Detector
App Service - Mobile Apps
App Service - Web Apps
Analysis Services
API for FHIR
Arc
Artifacts
Bastion
Blockchain Tokens
Archive Storage
Avere vFXT
Active Directory B2C
Active Directory Domain Services
Storage Explorer
StorSimple
Table Storage
Text Analytics
Text to Speech
Translator Speech
Translator Text
Video Indexer
SQL Server Stretch Database
Storage Accounts
SQL Server on Virtual Machines
App Service
Web Application Firewall
Application Gateway
Automation
Azure DevOps
API Apps
Application Insights
Data Explorer
Advisor
Azure Germany
API Management
Virtual Machine Scale Sets
Virtual WAN
Web App for Containers
Active Directory
Bot Service
Linux Virtual Machines
Content Delivery Network
Live and On-Demand Streaming
CLIs
Managed Disks
Cloud Shell
Media Analytics
Microsoft Genomics
Blockchain Service
Network Watcher
Blockchain Workbench
Notification Hubs
Blueprints
Personalizer
IoT
Immersive Reader
Ink Recognizer
Kinect DK
Azure NetApp Files
Azure Notebooks
App Configuration
Backup
Batch
Data Lake
R Server for HDInsight
Data Science Virtual Machines
Scheduler
Databricks
Security Center
Digital Twins
Service Fabric
Cosmos DB
Spatial Anchors
Cost Management
Speaker Recognition
Data Box Family
Speech to Text
Data Catalog
Speech Translation
Queue Storage
Power BI Embedded
QnA Maker
Cognitive Services
Container Instances
Container Registry
IoT Edge
IoT Hub
IoT Central
Bing Image Search
Key Vault
Bing News Search
ExpressRoute
Bing Spell Check
Bing Video Search
Functions
Bing Visual Search
HDInsight
Bing Web Search
Event Hubs
Virtual Network
VPN Gateway
Time Series Insights
SQL Database
VMware Solution by CloudSimple
Bing Autosuggest
Bing Custom Search
DNS
Traffic Manager
Bing Entity Search
Event Grid
Virtual Machines
Storage
Stream Analytics
Media Services
Monitor
Data Lake Analytics
Microsoft Azure portal
Developer tool integrations
Policy
DevOps tool integrations
Logic Apps
Disk Storage
Encoding
Machine Learning Studio
Face
Maps
Form Recognizer
Language Understanding
Load Balancer
Blob Storage
Cloud Services
Computer Vision
Data Factory
Kubernetes Service
Site Recovery
Sphere
SAP HANA on Azure Large Instances
Managed Applications
SDKs
Media Player
Service Bus
Migrate
Search
Open Datasets
Cache for Redis
Resource Graph
Resource Manager
Front Door
FXT Edge Filler
HPC Cache
Information Protection
Internet Analyzer
IoT Solution Accelerators
Lighthouse
Service Health
SignalR Service
Spring Cloud
SQL Database Edge
Test Plans
Pipelines
Private Link
Red Hat OpenShift
Repos
Security Center for IoT
Sentinel
Dev Spaces
Boards
File Storage
Cognitive Search
Mobile Apps
Azure Role-based Access Control
Content Moderator
Content Protection
CycleCloud
Data Lake Storage
DevTest Labs
Firewall
Firewall Manager
PlayFab
Data Share
Quantum
Database for MariaDB
Database for MySQL
Stack Edge
Database for PostgreSQL
Stack HCI
Web Apps
Database Migration Service
DDoS Protection
Dedicated Host
Dedicated HSM
Lab Services
Windows Virtual Machines
Remote Rendering
Machine Learning
Azure Stack
Synapse Analytics
Azure US Government
Log Analytics
Azure China 21Vianet
Windows API - Win32
Windows Forms
Windows Small Business Server
Windows System Center
Windows IoT
Windows Server
Windows Presentation Foundation (WPF)
Windows 10 IoT Core
Windows Virtual Desktop
Universal Windows Platform (UWP)
Windows Driver Kit (WDK)
Desktop Optimization Pack
Xbox
PowerPoint
Project
Planner
Excel
SharePoint
SharePoint Designer
Project Sever
Publisher
Access
Skype for Business
Adaptive Cards
SharePoint Framework
SharePoint Sever
Exchange Server
Word
Forefront
Yammer
Teams
Visio
Office 365
Office Add-ins
Kaizala
Lync Server
OneNote
Outlook
Office UI Fabric
Advanced Threat Protection
OneDrive
Enterprise Mobility + Security
Intune
System Center Configuration Manager
Threat Protection
Security Score
Cloud App Security
Information Protection
Security Center
Expression Studio
Retail
Power Insights
Project Service Automation
Remote Assist
Human Resources
Sales Insights
Guides
Layout
Fraud Protection
Product Visualize
Market Insights
Marketing
Finance
Finance and Operations
Customer Service Insights
Field Service
Talent
Business Central
Talent: Attract
Sales
Supply Chain Management
Customer Insights
Virtual Agent for Customer Service
Customer Service
Commerce
Talent: Onboard
Customer Engagement apps
Talent: Core
Quantum Development Kit
SQL Server
Skype
Microsoft Defender ATP
Common Data Service
Power Apps
Power Virtural Agents
Forms Pro
AI Builder
Power Automate
Power BI
Microsoft Graph
Visual Studio Online
Visual Studio for Mac
App Center
Visual Studio Code
Configuration Manager
Operations Manager
Service Manager
ASP.NET
ASP.NET Core
Entity Framework Core
.NET Core
.NET Standard
Xamarin
